D0_PF_1,D0_PF_2,D7_PF_1,D7_PF_2,target_id
85.71324615,81.95831308,42.59592611,42.54957511,1700020L24Rik
0,0,0,0.526113459,1700020N01Rik
0,0,0,0,1700020N15Rik
348.8139294,337.1259156,311.1641018,336.9968751,1700021F05Rik
0,0,0,0,1700021F07Rik
0,0,0,0,1700022A21Rik
2.153953603,0,0.793597141,1.443286075,1700022I11Rik
1.058972937,3.219153992,6.176614385,7.322261059,1700023F06Rik
0,0,0,0,1700024B05Rik
0,0,0,0,1700024G13Rik
17.08183102,14.3786506,21.5139746,11.28186913,1700024J04Rik
0,0,0,0,1700024P04Rik
0,0,0,0,1700025B11Rik
0,0.958383418,0,0,1700025C18Rik
0,0,0,0,1700025F22Rik
300.4574948,262.0606183,492.2251025,398.2423617,1700025G04Rik
2.232781954,0,0,0,1700028B04Rik
15.30402953,14.03420072,12.1893848,18.19654859,1700028J19Rik
1.860128109,0.992217625,1.956667851,4.26476614,1700028K03Rik
0,0,0,0,1700028P14Rik
3.991754404,4.253214765,2.264624022,1.025260841,1700029F12Rik
0,0,3.967621973,0,1700029H14Rik
3.013639246,3.827887998,6.173907273,4.542456796,1700029I15Rik
39.08365865,52.36584304,39.6095018,23.71852907,1700029J07Rik
0,0.958383418,0,0,1700029P11Rik
8.051721409,7.418697066,59.26077106,27.16357482,1700030C10Rik
39.28816242,47.14519672,36.66100234,43.35437549,1700030J22Rik
313.3695298,395.8832651,347.5151231,404.3764009,1700030K09Rik
0,0,0,0,1700031F05Rik
0,0,0,0,1700031M16Rik
0,1.104134705,1.301917064,0,1700034E13Rik
0.898794124,0.958383418,0,1.025260841,1700034I23Rik
0,0.78555191,0,0.841156042,1700034J05Rik
32.6713184,52.00055629,50.31408881,62.63355368,1700037C18Rik
744.2431946,698.7223951,847.2577189,955.4271907,1700037H04Rik
0,0,0,0,1700040F15Rik
0,0,0,0,1700042G07Rik
0,0,0,0,1700047I17Rik2
0,0.037359363,0,0,1700049E17Rik1
0,0,0,0,1700049L16Rik
14.45166393,11.70743839,15.2000456,18.72980781,1700056E22Rik
7.148050541,8.5748596,9.005844167,5.108814341,1700057G04Rik
6.884278154,8.566772665,11.57785759,7.876878578,1700061G19Rik
0,0,0,0,1700063K16Rik
0,0,0,2.050521683,1700064H15Rik
0,0,0,0,1700065I16Rik
4.333095301,3.0806893,6.372285451,9.074626502,1700066B19Rik
54.30153907,64.0233122,54.34282668,41.73722719,1700066M21Rik
9.59306345,13.57576906,10.90732541,20.4625898,1700067K01Rik
0,0,0,0,1700067P10Rik
0,0,0,0,1700069L16Rik
0,0,0,0,1700071K01Rik
5.713499966,5.076023005,0,1.084369719,1700073E17Rik
0,0,0,0,1700074P13Rik
0,0,0,0,1700080E11Rik
0,0,0,0,1700080O16Rik
0,0.606520516,0,0,1700084J12Rik
0,0,0,0,1700084M14Rik
0.898794124,0,1.132312011,0,1700086D15Rik
3.035185474,7.667067342,6.793872067,1.025260841,1700086L19Rik
19.03557937,31.64075004,47.714334,34.70003184,1700088E04Rik
0,0,0,0,1700091H14Rik
12.39689197,11.31856303,6.136432472,3.006140794,1700092M07Rik
1.536316845,3.46460893,7.961773535,5.517843027,1700093K21Rik
17.66719873,29.36762953,11.6091953,8.691071521,1700102P08Rik
20.14234774,51.67263583,33.51011954,17.49546422,1700109H08Rik
0,0,0,0,1700113H08Rik
0,0,0,0,1700122O11Rik
0,0,0,0,1700123K08Rik
0.898794124,3.833533671,1.132312011,2.054162731,1700123L14Rik
1476.360669,1471.205734,1492.011908,1393.914178,1700123O20Rik
1.206905084,0.763843186,1.51553582,4.61728579,1700125H20Rik
2.057973587,3.674541403,1.731796531,4.273202121,1700128F08Rik
0,0,0,0,1700129C05Rik
1397.187073,1278.871754,1033.108196,1023.698659,1810009A15Rik
0,0,0,0,1810009J06Rik
2.124851812,7.150379653,4.958850661,3.588007697,1810010D01Rik
14.58048554,16.83583798,18.21481403,25.27208395,1810010H24Rik
6.291558871,4.791917089,466.5125486,653.0911559,1810011H11Rik
3129.601141,2991.114647,1851.330138,1802.408559,1810013L24Rik
46.04983119,47.4196125,62.19422307,62.91960842,1810014B01Rik
0,1.716596549,0,1.83850023,1810018F18Rik
1263.426027,1158.888388,964.4196999,792.0730309,1810022K09Rik
34.18946453,31.07356882,39.20882697,41.84159401,1810024B03Rik
1379.007006,1284.416854,1617.410665,1644.274294,1810030O07Rik
263.2979216,284.0864998,145.8921323,101.495049,1810032O08Rik
1482.111511,1472.07693,1932.856603,1894.682035,1810037I17Rik
14.0167357,30.12439666,2.968826307,5.146777815,1810041L15Rik
300.7705192,314.8557767,451.4865444,502.9483116,1810043G02Rik
0,0,0,0.609985076,1810046K07Rik
154.6559597,181.5367241,215.9588901,230.9642374,1810049J17Rik
2514.82596,2609.678047,2043.82318,1918.263034,1810055G02Rik
32.35658848,23.00120203,31.70473631,20.50521683,1810062G17Rik
0,0,0,0,1810065E05Rik
0,0,1.132312011,0,2010003K11Rik
31.45779436,33.26485779,4.529248045,2.050521683,2010005H15Rik
0,0,0,0,2010010A06Rik
0,0,0,0,2010106E10Rik
2628.491904,2713.792483,3207.066749,3412.082857,2010107E04Rik
2.15259313,0,0,3.388416905,2010109A12Rik
56.41877125,49.3009139,46.87551699,24.69329237,2010109I03Rik
2319.839663,2479.967962,1282.582888,1486.351028,2010111I01Rik
17.67829564,19.69689152,23.8078044,20.47962155,2010300C02Rik
60.32535082,58.16669422,70.13031907,74.78858738,2010315B03Rik
87.04372309,108.4921369,174.4298906,114.7038848,2200002D01Rik
0.925763603,0,0,0,2200002J24Rik
8.08914712,4.791917089,3.396936034,4.101043365,2210010C04Rik
1.438588253,0.445628297,11.98302041,16.26240165,2210011C24Rik
1323.024951,1307.234982,1724.511193,1844.228085,2210016F16Rik
355.0477892,343.79325,520.709314,472.2773803,2210016L21Rik
0,2.097006053,1.387224903,2.254579941,2210017I01Rik
0,0,0,0,2210407C18Rik
29.64915245,37.97741898,44.1187097,31.06058256,2210408I21Rik
0,1.916766836,1.132312011,0,2210409E12Rik
99.86473591,97.79836129,87.52020241,91.27032314,2210418O10Rik
0,0,0,0,2300002M23Rik
0,0,0,0,2300003K06Rik
50.97471242,56.65191307,74.97992009,110.2436031,2300009A05Rik
0,0,0,0,2310002L09Rik
0,0,0,0,2310003L06Rik
12.73066752,6.335099836,2.406236513,0,2310007B03Rik
432.5740146,363.607578,514.6866884,478.0436253,2310009B15Rik
1255.615392,1316.818816,1517.298095,1675.276215,2310011J03Rik
432.6326043,489.6986771,1586.452269,2267.510269,2310022A10Rik
7090.586848,7003.866017,8460.635348,7623.839616,2310022B05Rik
5.479130163,7.306011595,25.92725616,25.79837885,2310030G06Rik
292.627079,329.0136879,461.7898029,507.7003716,2310033P09Rik
0,0,0,1.025260841,2310034C09Rik
14.38070599,12.45898443,21.51392821,22.55573851,2310034G01Rik
1022.392805,962.2094604,755.1155488,781.8789279,2310035C23Rik
257.9539137,295.1820927,346.4874754,353.7149902,2310039H08Rik
0,0,0,0,2310046K23Rik
0,0,0,0,2310050C09Rik
0,0.708152353,0,0,2310057J18Rik
772.1495362,600.0171847,410.6080825,369.3150311,2310057M21Rik
0,0,0,0,2310057N15Rik
244.4241084,268.5989735,183.2281105,198.1579787,2310061I04Rik
0,0,0,0,2310061N02Rik
0,0,0,0,2310079G19Rik
1040.844893,1105.123157,894.7351866,727.9345326,2410002F23Rik
159.4708222,166.5762678,171.4579483,169.655286,2410004B18Rik
6.75274223,9.499645605,7.726961202,9.227347571,2410004P03Rik
1615.133042,1679.087748,2326.901183,2458.575497,2410015M20Rik
3.358431145,5.743122728,3.078749931,1.848403112,2410024N13Rik
135.7890214,137.4629542,114.1801169,104.9957777,2410089E03Rik
1000.658914,1077.397751,1202.866965,1208.115225,2410131K14Rik
0,1.110137703,0,0,2410137M14Rik
3.678505965,0.980622867,3.208063441,4.191781691,2410141K09Rik
241.5441303,250.3909713,339.0947976,337.391827,2510002D24Rik
1518.063276,1401.156557,2801.339916,2544.697408,2510009E07Rik
2501.344048,2648.971767,3219.163048,3538.175163,2510039O18Rik
1530.844743,1492.60314,3012.10978,2976.114691,2610001J05Rik
474.0454518,423.9049306,609.9867596,597.8048226,2610002M06Rik
2038.999758,2488.326279,1846.75078,1910.501462,2610005L07Rik
399.5075566,372.2082634,351.0086187,331.3843747,2610008E11Rik
69.08740109,49.86319991,37.8773964,44.92301072,2610021A01Rik
0,0,1.132312011,0,2610024D14Rik
1.143554618,0,2.888687187,0,2610028H24Rik
0.597671507,0,0,0,2610042L04Rik
163.2499688,175.3622664,160.6102262,165.7125342,2610044O15Rik8
132.750479,135.6834287,159.1758007,138.900509,2610301B20Rik
32.47800072,26.91803435,115.3010132,170.6968109,2610318N02Rik
716.5518969,664.7208803,1100.945439,1360.007428,2610507B11Rik
369.2864078,327.7621866,535.5810819,565.9298256,2610524H06Rik
1.901229263,1.01347157,6.446754459,7.789421931,2610528A11Rik
0,0,0,0,2610528J11Rik
532.7477937,432.581664,427.9711605,405.5211225,2700049A03Rik
426.9272091,419.771937,418.9554442,349.6139469,2700062C07Rik
674.0904196,689.1500157,728.2643835,668.1124103,2700081O15Rik
178.4564606,176.9236969,115.7919445,123.7262391,2700097O09Rik
177.0990005,161.7110893,100.3671926,101.9680561,2700099C18Rik
1591.994969,1595.150106,922.4180967,931.9933983,2810004N23Rik
369.060147,349.3401734,471.6871159,528.0448561,2810006K23Rik
224.1600381,168.7557411,214.0318753,179.1967641,2810021J22Rik
142.5524918,147.7805756,128.4494896,157.612259,2810025M15Rik
78.26474513,67.75215367,70.85448158,72.65857859,2810039B14Rik
34.66522811,24.79291064,41.52331641,29.62017458,2810047C21Rik1
1334.0037,1325.996876,1129.744508,1076.928751,2810403A07Rik
26.474302,32.04377587,82.17935718,62.84421598,2810408A11Rik
1.765753342,0.62774755,0.742161868,0,2810459M11Rik
481.6192004,454.6131488,546.353653,565.5844785,2810474O19Rik
4.011580988,2.141572691,1.132312011,1.025260841,2900011O08Rik
7605.006055,8003.009211,3191.49078,3376.149211,2900026A02Rik
0,0,0,0,2900055J20Rik
0,0,0,0,2900092C05Rik
75.76478186,77.21162345,60.7099165,74.5552699,3000002C10Rik
0,0,0,0,3100002H09Rik
67.99972524,85.18714852,67.70455953,82.4083171,3110001I22Rik
409.9592965,407.5388571,454.7893722,479.7067805,3110002H16Rik
62.76170249,50.80050573,50.5902257,49.31651251,3110009E18Rik
0,0,0,1.025260841,3110009M11Rik
0,0,0,0,3110018I06Rik
10.65114836,13.41517748,1.291943237,3.602664096,3110021N24Rik
0,0,21.51392821,23.58099935,3110035E14Rik
385.4164453,412.4659058,505.8758553,510.210313,3110040N11Rik
349.723222,352.5632391,386.9785707,430.9301985,3110043O21Rik
21.36967858,14.45707547,26.98331049,26.41247427,3110053B16Rik
249.2642311,249.2234992,328.0575315,365.1337316,3110062M04Rik
9.886735369,5.750300507,0,2.050521683,3110067C02Rik
27.86261786,34.50180304,20.3816162,44.08621617,3110070M22Rik
0,0,0,0,3110079O15Rik
620.6228032,608.327228,632.5050756,676.4048423,3110082I17Rik
0.515804815,3.701865303,0,0,3110082J24Rik
23.16284756,24.96587935,41.88412479,51.5623481,3300002I08Rik
9.886735369,9.59326433,35.49998308,61.10295938,3425401B19Rik
446.2220824,496.0544158,1894.364235,1393.560036,3632451O06Rik
5.522837527,18.20928494,45.29248045,12.3031301,3830403N18Rik
429.9270955,402.3371266,477.5465325,467.4238088,3830406C13Rik
0.957142706,0,0,0,3830417A13Rik
33.26639449,23.25010027,29.41694398,21.44154219,4430402I18Rik
0,0,0,0,4833418N17Rik
963.1005708,1089.782848,1309.64189,1365.035251,4833420G17Rik
0,0,0,0,4833423E24Rik
152.7950012,152.3829634,48.68941648,37.93465113,4833427G06Rik
1008.405492,1002.524135,1128.882209,1130.612815,4833439L19Rik
0,0,0,0,4921501E09Rik
0,0,0,0,4921504E06Rik
3.595176498,5.750300507,21.51392821,11.27786925,4921507P07Rik
0,0,0,0,4921509C19Rik
0,0,0,0,4921511C20Rik
0,0,0,0,4921511M17Rik
0,0,0,0,4921517D22Rik
106.874878,100.9651221,58.32261406,63.33132353,4921524J17Rik
0,0,0,0,4921524L21Rik
0,0,0,0,4921530L21Rik
45.76960421,27.79311911,24.91086425,32.81512788,4921536K21Rik
0,0,0,0,4921539E11Rik
0,0,0,0,4922502D21Rik
0,0,0,0,4930402F06Rik
264.2620732,251.3133245,232.2461862,252.0180872,4930402H24Rik
0,0,0,0,4930402K13Rik
0,0,0,0,4930404H24Rik
2.945468384,3.979924071,40.17981914,71.96001247,4930404N11Rik
0,0,0,0,4930407I10Rik
0,0,0,0,4930412O13Rik
0,0,0,0,4930415H17Rik
0,0,0,0,4930415L06Rik
13.48191187,16.2925181,4.529248045,7.176825889,4930415O20Rik
0,0.958383418,0,0,4930421P07Rik
107.8552949,111.1724765,44.16016844,43.06095533,4930426L09Rik
4.229389375,7.511495281,3.543174652,4.793986222,4930430A15Rik
391.6814473,356.0727486,287.7851359,307.260476,4930430F08Rik
15.55055245,13.82230349,21.74566399,24.29238919,4930431P19Rik
1.223904521,0,2.130004621,0.698458216,4930432E11Rik
18.81524721,33.19901777,33.73128536,28.00275044,4930432K21Rik
0,0,0,0,4930432M17Rik
0,0,0,0,4930433I11Rik
0,0,0,0,4930435E12Rik
1.726527059,1.839204918,0.766410365,1.39074681,4930438A08Rik
1.797588249,0.958383418,0,0,4930442H23Rik
0,0,1.132312011,0,4930444G20Rik
4.581160737,8.824609667,6.50826706,3.017264552,4930444P10Rik
0,0,0,0,4930447A16Rik
43.93061656,55.41415771,60.18598558,32.60382302,4930447C04Rik
0,0,0,0,4930447F04Rik
0,0,0,0.833996879,4930448K20Rik
0,0,0,0,4930449A18Rik
0,0,0,0,4930449I24Rik
6.291558871,5.750300507,10.1908081,11.27786925,4930451G09Rik
0,0,0,0,4930451I11Rik
115.1395559,99.98317507,116.3958921,83.82121687,4930452B06Rik
997.5040344,979.5875317,893.516108,815.0382693,4930453N24Rik
0,0,0,0,4930455H04Rik
0.898794124,0.958383418,0,1.025260841,4930465K10Rik
0,0,0,0,4930467E23Rik
4.422390596,3.543892224,3.508187172,7.707664005,4930469K13Rik
0,0,0,0,4930470P17Rik
0,0.705295621,1.671151774,0,4930474N05Rik
0,0,0,0,4930480E11Rik
2.696382373,2.637781913,9.526319719,4.218159039,4930486L24Rik
0,0,0,0,4930488N24Rik
2.696382373,0.986300247,7.926184079,5.126304206,4930502E18Rik
0.898794124,6.544212023,0,1.025260841,4930503B20Rik
0,0,0,0,4930503E14Rik
0,0,0,0,4930503E24Rik
0,0,0,0,4930503H13Rik
809.3082423,764.41717,611.2710986,584.5277133,4930503L19Rik
0,0,0,0,4930504O13Rik
3.842946008,3.072886843,4.838846238,5.472405387,4930505A04Rik
10.85846116,4.862228351,10.27119704,6.1765366,4930507D05Rik
0,0,0,0,4930512M02Rik
0,0,0,0,4930513O06Rik
0,0,0,0,4930515G13Rik
0,0,0,0,4930515G16Rik
2.856092872,7.626494327,10.99480041,6.855070398,4930516K23Rik
19.77347074,25.87635228,18.11699218,22.55573851,4930518I15Rik
0,0,0,0,4930519F09Rik
0.203903592,0,0,1.637697229,4930519F16Rik
1.644773031,2.888704252,3.488378515,1.823250219,4930519G04Rik
7.190352995,0.958383418,1.132312011,4.101043365,4930519P11Rik
0,0,0,0,4930522H14Rik
102.1115889,115.0421094,172.5869971,183.7607905,4930522L14Rik
32.59134174,53.58903792,97.16311942,64.88640646,4930523C07Rik
0,0,0,0,4930524B15Rik
33.2553826,43.1272538,38.49860838,43.06095533,4930524J08Rik
0,0,0,0,4930524N10Rik
9.389674787,10.03745143,6.771994339,3.072489719,4930526A20Rik
0,0,0,0,4930529C04Rik
0,0,0,1.071442882,4930535I16Rik
54.55572709,44.9901912,46.73660069,42.50156091,4930539E08Rik
0,0,0,0,4930544D05Rik
0,0,0,0,4930544G11Rik
0,0,0,0,4930546C10Rik
5.085854409,4.574839448,2.295144329,1.663155869,4930548H24Rik
25.30458155,22.8056349,24.03955288,22.65620219,4930550C14Rik
0,0,0,1.069260155,4930550L24Rik
0,0,0,0,4930553J12Rik
0.898794124,0.958383418,0,0,4930553M12Rik
0,0,0,0,4930555G01Rik
0,0,0,0,4930555K19Rik
0.898794124,0.958383418,2.264624022,0,4930556J24Rik
0.898794124,0,0,0,4930558C23Rik
0,0,1.154700278,0,4930558K02Rik
6.415081158,21.21860786,21.96712955,16.27314655,4930562C15Rik
0,3.833533671,0,0,4930563D23Rik
1.863536417,3.968979322,0,4.196778269,4930563M21Rik
0.898794124,0.958383418,1.132312011,0,4930564D02Rik
0,0,0,0,4930567H17Rik
0,0,0,0,4930568D16Rik
0,0,0,0,4930572O03Rik
0,0,0,0,4930578C19Rik
8.410703399,5.23511419,14.98794339,10.02591253,4930578G10Rik
0.898794124,0,0,0,4930578I06Rik
0,0,0,1.025260841,4930579F01Rik
464.4132519,403.7132474,352.0029674,305.1067394,4930579G24Rik
0,0,0,0,4930583I09Rik
13.81656849,21.58146315,12.3732541,13.7486068,4930590J08Rik
0,0,0,0,4930595D18Rik
0,0,0,0,4930595M18Rik
0,0,0,0,4930596D02Rik
0.898794124,0,0,0,4931400O07Rik
5.023635879,5.975326975,10.58861049,4.260317721,4931406B18Rik
881.2018192,900.7748332,1516.744834,1414.773285,4931406C07Rik
334.9106914,335.2609697,423.9208095,317.269068,4931406P16Rik
0,0,0,0,4931408C20Rik
0,0,0,0,4931409K22Rik
182.4552073,168.6754815,218.5362182,239.9110369,4931414P19Rik
0,0,0,0,4931417E11Rik
10.78552949,4.791917089,104.4398903,164.0717122,4931422A03Rik
0,0,0,2.460663278,4931423N10Rik
302.3574411,252.5068207,502.2438029,467.8917012,4931428F04Rik
6.8036994,6.721003744,5.650492022,4.849819494,4931428L18Rik
0,1.916766836,3.396936034,2.050521683,4931429L15Rik
0.898794124,0,0,4.101043365,4931440F15Rik
25.51351272,26.93236547,74.2805698,101.4488544,4931440P22Rik
2.696382373,1.916766836,1.132312011,3.075782524,4932411N23Rik
15.99212547,13.76824588,7.240975657,6.500708905,4932414N04Rik
1.073507759,0.572373941,0,1.225279102,4932415D10Rik
0,0,0,0,4932429P05Rik
0.502276275,0,0,0,4932431P20Rik
1077.943639,1037.172255,998.531289,979.3393695,4932438A13Rik
6.448566722,22.17656659,16.66674826,6.67854401,4932438H23Rik
8.475911313,8.867610875,11.62801998,10.72531045,4932443I19Rik
0,1.093591398,0,0,4933400A11Rik
0,0,0,0,4933401B06Rik
0,0,3.396936034,2.050521683,4933402D24Rik
0,0,0,0,4933402E13Rik
0,0,0,0,4933402J07Rik
0,0,0,2.050521683,4933402N03Rik
0,0,0,0,4933402N22Rik
0,0,0,0,4933403O08Rik
0.898794124,0.958383418,7.193047106,0,4933405L10Rik
0,0,0,0,4933405O20Rik
15.27950012,19.16766836,1.132312011,1.025260841,4933406M09Rik
6.970491465,14.80281764,1.901105098,7.632122115,4933407L21Rik
29.45813843,14.78207927,22.9240553,22.36074537,4933408B17Rik
0,0,0,0,4933409G03Rik
0.898794124,2.875150253,12.45543212,9.227347571,4933411K16Rik
0.929481915,0,1.304187154,0,4933412A08Rik
0,0,0,0,4933412E24Rik
0,0,0,0,4933414I15Rik
1.823261184,0.958845317,1.150052646,1.04441671,4933415A04Rik
0,0,0,0,4933415F23Rik
1.901621157,0,0,0,4933416C03Rik
0,0,0,0,4933416E14Rik
0,0,0,0,4933416I08Rik
0,0,1.052159803,0,4933417A18Rik
0,0,0,0,4933417G07Rik
1.277349392,2.722375315,0,0,4933421I07Rik
1.841594911,0.281189115,0.335622175,0.620342623,4933424G06Rik
0,0,0,0,4933425L06Rik
90.66120979,91.1848524,83.37309689,98.40181547,4933427D14Rik
13.56727798,13.93748246,6.341891873,8.061159581,4933427G23Rik
2.105703364,5.472393613,1.315608522,4.971393209,4933427I04Rik
38.75419772,35.63893302,17.04286717,16.47457632,4933428G20Rik
0,0,0,0,4933428M09Rik
14.38070599,10.5422176,23.77855224,31.78308608,4933430I17Rik
1520.23831,1489.336642,1760.504069,1766.790725,4933434E20Rik
0,0,0,0,4933436I01Rik
2.995980415,0,8.492340084,3.54890228,5031410I06Rik
3360.968415,3397.505996,6156.835076,7867.102448,5031439G07Rik
0,0,0,0,5033404E19Rik
0,0,0,0,5033423K11Rik
0.773025484,2.256800064,1.601058747,0.967985432,5330417C22Rik
0,0,0,0,5330417H12Rik
0,0,0,0,5430401F13Rik
0,0,0,0,5430402E10Rik
68.94666646,80.21432094,89.54309671,87.60222244,5430403G16Rik
1.241507475,0.958383418,3.870932076,3.480191317,5430419D17Rik
15.27950012,14.37575127,243.4470824,318.8561216,5430427O19Rik
0,0,0,0,5530400C23Rik
0.739084997,0,0,1.629207448,5530401A14Rik
1031.67618,1029.336277,1687.600453,1609.697007,5730409E04Rik
0,0,1.132312011,0,5730416F02Rik
870.7657439,906.1224429,873.8863549,721.3111722,5730455P16Rik
298.5110764,322.5943301,291.3914583,268.421312,5730480H06Rik
52.40095642,51.23155863,51.99141211,32.81916746,5730507C01Rik
1.552572927,0,4.505737374,2.623382515,5730522E02Rik
10.61285778,5.516099333,9.310602818,16.50250544,5730559C18Rik
0,0,0,0,5730596B20Rik
0,0,0,0,5830411N06Rik
1917.313389,1958.560685,1911.104691,1872.8333,5830417I10Rik
6.000954329,8.939506636,8.102449061,6.962267786,5830473C10Rik
15.27950012,8.62545076,6.793872067,4.101043365,5930422O12Rik
776.3911822,841.2366,459.4629419,444.3234605,6030419C18Rik
10.92164545,17.58771084,6.322693115,13.57376594,6030445D17Rik
0,0,0,1.025260841,6030452D12Rik
1159.77195,1156.702223,827.4526799,842.6964842,6030458C11Rik
5.392764747,0.958383418,1.132312011,1.025260841,6030468B19Rik
0,0,0,0,6030498E09Rik
0.691488162,0,5.236580641,3.169681678,6330409D20Rik
28.0158804,29.73002354,28.85658394,28.35492302,6330549D23Rik
21.14628588,18.7052767,101.0547607,112.4948532,6430531B16Rik
101.8041068,88.92871467,391.9814686,484.3635451,6430548M08Rik
1.794141444,3.237091035,2.667590215,10.57572388,6430550D23Rik
